U165,267484853488,64:f6:9d:36:83:c9,5C:0A:5B:97:E0:C0,-83;
U165,267484853463,64:f6:9d:36:83:ca,5C:0A:5B:97:E0:C0,-83;
U165,267484852409,64:f6:9d:48:a5:20,5C:0A:5B:97:E0:C0,-79;
U165,267484853417,64:f6:9d:36:83:cf,5C:0A:5B:97:E0:C0,-84;
U165,267484853322,64:f6:9d:43:1b:9d,5C:0A:5B:97:E0:C0,-84;
U165,267484853511,64:f6:9d:36:83:ce,5C:0A:5B:97:E0:C0,-85;
U165,267484853140,64:f6:9d:37:a2:ae,5C:0A:5B:97:E0:C0,-86;
U165,267484853233,64:f6:9d:37:a2:ac,5C:0A:5B:97:E0:C0,-86;
U165,267484853346,64:f6:9d:43:1b:99,5C:0A:5B:97:E0:C0,-86;
U165,267484851954,64:f6:9d:3a:8e:84,5C:0A:5B:97:E0:C0,-75;
U165,267484852636,64:f6:9d:36:87:34,5C:0A:5B:97:E0:C0,-77;
U165,267484853440,64:f6:9d:36:83:cb,5C:0A:5B:97:E0:C0,-82;
U165,267484853186,64:f6:9d:37:a2:ab,5C:0A:5B:97:E0:C0,-87;
U165,267489321447,64:f6:9d:3a:93:b4,5C:0A:5B:97:E0:C0,-75;
U165,267489321580,64:f6:9d:3a:93:b5,5C:0A:5B:97:E0:C0,-78;
U165,267489322097,64:f6:9d:36:89:05,5C:0A:5B:97:E0:C0,-77;
U165,267489322275,64:f6:9d:36:89:04,5C:0A:5B:97:E0:C0,-84;
U165,267489321955,64:f6:9d:43:1b:94,5C:0A:5B:97:E0:C0,-73;
U165,267489322001,64:f6:9d:43:1b:95,5C:0A:5B:97:E0:C0,-71;
U165,267489321714,64:f6:9d:56:ef:d0,5C:0A:5B:97:E0:C0,-74;
U165,267489321736,64:f6:9d:56:ef:d4,5C:0A:5B:97:E0:C0,-75;
U165,267489321757,64:f6:9d:56:ef:d5,5C:0A:5B:97:E0:C0,-75;
U165,267489322252,64:f6:9d:36:89:00,5C:0A:5B:97:E0:C0,-75;
U165,267489321493,64:f6:9d:43:20:44,5C:0A:5B:97:E0:C0,-54;
U165,267489321471,64:f6:9d:43:20:40,5C:0A:5B:97:E0:C0,-53;
U165,267489321513,64:f6:9d:43:20:45,5C:0A:5B:97:E0:C0,-53;
U165,267489322070,64:f6:9d:36:83:c5,5C:0A:5B:97:E0:C0,-67;
U165,267489322047,64:f6:9d:36:83:c4,5C:0A:5B:97:E0:C0,-67;
U165,267489322188,64:f6:9d:36:83:c0,5C:0A:5B:97:E0:C0,-65;
U165,267489322640,64:f6:9d:43:1b:9a,5C:0A:5B:97:E0:C0,-85;
U165,267489322595,64:f6:9d:43:1b:9f,5C:0A:5B:97:E0:C0,-85;
U165,267489322294,64:f6:9d:43:1b:90,5C:0A:5B:97:E0:C0,-73;
U165,267489321670,64:f6:9d:48:a5:25,5C:0A:5B:97:E0:C0,-59;
U165,267489322209,64:f6:9d:31:a2:40,5C:0A:5B:97:E0:C0,-69;
U165,267489322025,64:f6:9d:31:a2:45,5C:0A:5B:97:E0:C0,-71;
U165,267489322412,64:f6:9d:43:20:4a,5C:0A:5B:97:E0:C0,-68;
U165,267489321693,64:f6:9d:37:a2:a0,5C:0A:5B:97:E0:C0,-63;
U165,267489322365,64:f6:9d:43:20:4f,5C:0A:5B:97:E0:C0,-67;
U165,267489321868,64:f6:9d:37:a2:a5,5C:0A:5B:97:E0:C0,-63;
U165,267489322502,64:f6:9d:37:a2:aa,5C:0A:5B:97:E0:C0,-77;
U165,267489321847,64:f6:9d:48:a5:24,5C:0A:5B:97:E0:C0,-61;
U165,267489322389,64:f6:9d:43:20:4b,5C:0A:5B:97:E0:C0,-67;
U165,267489321780,64:f6:9d:37:a2:a4,5C:0A:5B:97:E0:C0,-65;
U165,267489321978,64:f6:9d:31:a2:44,5C:0A:5B:97:E0:C0,-68;
U165,267489322617,64:f6:9d:43:1b:9b,5C:0A:5B:97:E0:C0,-85;
U165,267489322570,64:f6:9d:43:1b:9e,5C:0A:5B:97:E0:C0,-84;
U165,267489322526,64:f6:9d:37:a2:af,5C:0A:5B:97:E0:C0,-76;
U165,267489322165,64:f6:9d:43:1b:93,5C:0A:5B:97:E0:C0,-74;
U165,267489321534,64:f6:9d:43:20:43,5C:0A:5B:97:E0:C0,-57;
U165,267489322142,64:f6:9d:31:a2:43,5C:0A:5B:97:E0:C0,-69;
U165,267489321557,64:f6:9d:3a:93:b2,5C:0A:5B:97:E0:C0,-78;
U165,267489321912,64:f6:9d:37:a2:a6,5C:0A:5B:97:E0:C0,-62;
U165,267489321890,64:f6:9d:56:ef:d1,5C:0A:5B:97:E0:C0,-76;
U165,267489321802,64:f6:9d:37:a2:a2,5C:0A:5B:97:E0:C0,-66;
U165,267489321932,64:f6:9d:37:a2:a1,5C:0A:5B:97:E0:C0,-65;
U165,267489322230,64:f6:9d:36:89:01,5C:0A:5B:97:E0:C0,-77;
U165,267489322120,64:f6:9d:36:89:06,5C:0A:5B:97:E0:C0,-80;
U165,267489321601,64:f6:9d:3a:8e:85,5C:0A:5B:97:E0:C0,-81;
